n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg
24,2,322.5,326.0,6.11,87.83,-43.65,16.47,324.69,0.9813,0.6316,23.4,10.36,144.69,,0.0,1.0,,,,,135,5,4,"2023,2024,2025,2026",2.18,0.526,0.993,123.9,-67.12,antihelion,92.3
12,1,301.5,303.5,6.11,246.26,50.66,36.28,302.17,0.9816,0.6641,62.05,173.31,302.17,,0.0,1.0,,,,,122,7,0,,-1.1,0.27,1.0,276.76,69.98,north_toroidal,10.4
36,1,264.0,266.0,6.03,132.05,0.92,57.43,265.25,0.2153,0.9763,125.09,125.61,85.25,HYD,0.778,0.222,HYD,0.74,DOH,3.5,1627,7,0,,-4.85,0.323,0.247,229.68,-16.39,antihelion,33.6
32,1,87.0,89.0,6.0,233.48,55.8,15.49,88.21,1.0135,0.6245,22.85,186.53,88.23,EUM,0.188,0.75,,,EUM,1.9,501,8,7,"2020,2021,2022,2023,2024,2025,2026",4.97,0.251,0.762,109.04,67.45,north_toroidal,71.6
58,1,255.0,257.0,5.89,80.38,26.26,24.71,255.84,0.4796,0.7793,2.76,280.11,255.77,PTS,0.655,0.328,NTA,6.3,ORN,2.6,1413,7,0,,-12.15,0.272,0.388,185.48,2.92,antihelion,14.8
27,1,97.5,99.5,5.89,256.52,8.13,15.76,98.34,0.8861,0.6888,12.68,226.3,98.37,KCG,0.222,0.778,,,,,359,8,5,"2020,2021,2024,2025,2026",2.44,0.326,0.83,156.49,29.01,antihelion,51.1
31,1,349.5,351.5,5.75,189.88,-7.57,35.9,350.73,0.1633,0.921,6.47,137.33,170.74,,0.0,1.0,,,SMV,2.15,266,7,0,,0.06,0.357,0.959,201.73,-2.75,antihelion,3.3
34,1,165.0,167.0,5.54,5.8,9.46,35.63,165.83,0.1557,0.9269,13.73,319.04,165.84,NDA,0.647,0.353,NPI,2.94,,,588,7,0,,-1.26,0.286,0.345,203.85,6.55,antihelion,7.6
25,1,159.0,161.0,5.52,356.11,2.83,29.17,160.29,0.2735,0.8378,5.75,306.67,160.32,NIA,1.0,0.0,NIA,0.21,SGP,4.59,1041,7,7,"2019,2020,2021,2022,2023,2024,2025",3.54,0.308,0.238,195.44,3.79,antihelion,5.9
39,2,304.5,308.0,5.52,202.31,-19.79,70.72,307.04,0.9196,0.9404,163.51,30.19,127.03,PIH,0.643,0.357,,,SOV,2.68,156,7,6,"2021,2022,2023,2024,2025,2026",3.24,0.333,0.391,261.16,-9.06,south_apex,10.5
72,1,177.0,179.0,5.5,332.28,0.96,13.53,178.4,0.8595,0.6502,4.29,229.44,178.51,,0.0,1.0,,,,,588,7,0,,-1.06,0.429,1.0,154.12,9.6,antihelion,46.7
29,2,4.5,8.0,5.48,267.82,67.17,23.18,6.69,0.9976,0.6356,37.36,179.09,6.69,,0.0,1.0,,,PDF,1.44,186,7,6,"2020,2021,2022,2023,2025,2026",5.34,0.317,1.0,135.87,85.55,north_toroidal,47.2
15,1,69.0,71.0,5.48,272.15,-26.99,36.94,70.42,0.1501,0.9398,8.38,139.44,250.4,LSA,0.6,0.4,,,LSA,2.41,384,8,6,"2021,2022,2023,2024,2025,2026",3.68,0.292,0.513,201.76,-3.0,antihelion,3.5
18,1,66.0,68.0,5.48,351.98,7.07,66.31,66.81,0.7136,0.9011,161.27,112.21,66.8,ETA,1.0,0.0,ETA,6.88,JTP,3.88,377,8,5,"2019,2023,2024,2025,2026",2.8,0.318,0.05,289.23,9.12,north_apex,19.7
16,1,303.0,305.0,5.48,184.17,-30.05,64.65,303.68,0.8087,0.9144,131.87,51.75,123.68,JBC,0.75,0.25,OHY,6.41,SCV,1.71,119,6,0,,-1.25,0.311,0.454,252.55,-26.24,south_apex,19.8
15,1,306.0,308.0,5.48,228.12,48.55,45.04,307.1,0.9622,0.9133,75.62,197.8,307.1,FPB,0.333,0.667,LBO,7.7,,,88,7,0,,-1.37,0.284,0.614,252.59,61.09,north_toroidal,8.6
18,1,280.5,282.5,5.48,77.59,3.37,13.67,281.5,0.8654,0.6375,7.28,46.2,101.52,,0.0,1.0,,,,,371,8,0,,-1.53,0.367,1.0,154.13,-18.24,antihelion,48.8
14,1,168.0,170.0,5.48,7.84,8.28,35.39,168.62,0.168,0.9296,9.99,316.64,168.64,NDA,0.357,0.643,NPI,1.16,,,409,7,7,"2019,2020,2021,2022,2023,2024,2025",10.49,0.313,0.692,202.2,5.03,antihelion,5.5
12,1,292.5,294.5,5.37,183.26,19.6,62.6,293.69,0.4996,0.9347,136.53,271.3,293.69,FEV,1.0,0.0,,,,,679,7,3,"2022,2025,2026",1.73,0.258,0.137,241.56,19.25,north_apex,27.5
12,1,166.5,168.5,5.37,61.48,-41.06,42.89,167.83,0.9119,0.9188,72.53,36.56,347.83,,0.0,1.0,,,DHO,0.47,70,4,2,"2024,2025",-0.91,0.443,1.0,236.23,-59.85,south_apex,52.3
12,1,327.0,329.0,5.37,218.88,44.94,44.14,327.86,0.8312,0.9705,71.28,227.25,327.86,,0.0,1.0,,,,,54,6,2,"2022,2025",0.95,0.241,1.0,226.99,56.47,north_toroidal,22.9
11,1,67.5,69.5,5.37,221.72,0.61,13.49,68.59,0.9073,0.6615,5.82,222.89,68.63,,0.0,1.0,,,,,355,8,1,2020,0.25,0.273,1.0,151.92,15.34,antihelion,50.1
11,1,24.0,26.0,5.37,267.58,-16.58,65.25,24.65,0.4895,0.9462,164.49,272.39,24.63,OSP,1.0,0.0,,,OSP,7.62,164,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",16.5,0.262,0.171,243.09,6.96,north_apex,27.6
11,1,334.5,336.5,5.37,240.25,59.52,29.2,335.29,0.9649,0.677,47.99,200.8,335.29,ETD,0.727,0.273,,,ETD,2.71,157,7,2,"2022,2023",-0.63,0.35,0.389,220.33,75.69,north_toroidal,24.4
11,1,96.0,98.0,5.37,237.2,-21.13,11.29,96.78,0.941,0.6263,0.59,38.51,275.68,,0.0,1.0,,,,,353,8,2,"2019,2024",0.56,0.309,0.966,144.97,2.16,antihelion,55.1
11,1,280.5,282.5,5.37,95.2,-29.22,24.94,281.41,0.8262,0.8049,32.15,50.07,101.41,PIP,1.0,0.0,,,LCM,3.58,340,8,4,"2019,2023,2024,2025",1.69,0.394,0.344,176.66,-53.89,antihelion,57.8
11,1,256.5,258.5,5.37,151.95,35.18,63.7,257.73,0.5936,0.9935,133.51,258.3,257.73,COM,1.0,0.0,COM,7.39,DLM,4.24,930,7,0,,-8.8,0.303,0.04,243.39,21.82,north_apex,26.2
11,1,72.0,74.0,5.37,233.36,-15.84,15.09,73.15,0.8277,0.6379,1.19,237.38,73.63,,0.0,1.0,,,,,483,8,0,,-2.81,0.3,1.0,160.97,3.17,antihelion,39.1
10,1,6.0,8.0,5.37,139.48,13.29,10.01,6.94,0.9638,0.6368,0.97,27.19,186.08,,0.0,1.0,,,,,323,7,5,"2020,2021,2022,2024,2025",2.29,0.402,1.0,136.28,-0.25,antihelion,63.7
12,1,295.5,297.5,5.37,112.93,-1.05,23.57,295.95,0.6297,0.7872,16.27,79.7,115.95,DCN,0.417,0.583,,,DCN,2.52,201,8,7,"2020,2021,2022,2023,2024,2025,2026",6.41,0.428,0.697,178.58,-21.67,antihelion,30.2
12,1,265.5,267.5,5.37,96.02,25.64,27.34,266.3,0.4043,0.8207,2.43,287.59,266.27,ORN,1.0,0.0,NTA,7.78,DEG,0.61,838,7,0,,-8.3,0.315,0.159,188.57,2.21,antihelion,11.6
10,1,316.5,318.5,5.37,125.25,58.61,16.14,317.52,0.8882,0.7022,15.58,221.15,317.51,,0.0,1.0,,,,,107,7,0,,-0.82,0.271,1.0,153.18,37.85,antihelion,58.3
10,1,162.0,164.0,5.37,76.26,-3.65,65.62,163.16,1.0068,0.9234,135.17,355.86,343.17,PSO,0.3,0.7,PSO,2.35,,,145,7,6,"2020,2021,2022,2023,2024,2025",7.37,0.262,0.628,272.02,-26.28,south_apex,11.4
11,1,132.0,134.0,5.37,39.25,56.33,56.66,133.2,0.9365,0.767,111.06,145.45,133.2,PER,1.0,0.0,PER,3.6,,,4177,7,4,"2020,2021,2022,2023",4.2,0.244,0.08,283.66,38.4,north_toroidal,23.4
17,1,283.5,285.5,5.23,69.35,21.15,11.57,284.09,0.9028,0.6316,1.53,41.79,105.51,,0.0,1.0,,,,,400,8,0,,0.23,0.372,1.0,150.4,-4.52,antihelion,49.8
24,1,12.0,14.0,5.14,119.52,21.82,7.94,13.0,0.9978,0.5788,1.78,93.94,103.0,,0.0,1.0,,,,,224,7,2,"2022,2024",0.32,0.272,1.0,102.82,1.4,antihelion,97.2
76,1,162.0,164.0,5.02,357.61,3.61,29.01,162.98,0.2725,0.8361,4.69,306.7,163.13,NIA,0.789,0.171,NIA,1.72,SGP,6.0,1111,7,7,"2019,2020,2021,2022,2023,2024,2025",4.86,0.284,0.244,201.21,3.66,antihelion,3.9
48,1,76.5,78.5,5.01,277.73,-23.46,35.38,77.7,0.1938,0.9297,4.48,136.28,256.42,LSA,0.604,0.396,,,LSA,1.52,549,8,4,"2023,2024,2025,2026",1.47,0.366,0.297,199.16,-2.58,antihelion,2.7
