n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg
211,8,222.0,234.5,29.0,22.68,34.51,16.99,233.33,0.8128,0.7449,10.66,234.46,233.32,AND,0.806,0.194,AND,1.29,,,745,7,6,"2019,2020,2021,2022,2023,2025",5.69,0.31,0.454,161.5,22.46,antihelion,43.9
13,1,127.5,129.5,28.0,340.25,-16.87,39.59,128.29,0.0954,0.962,25.24,148.04,308.28,SDA,1.0,0.0,SDA,0.17,SIA,6.46,21280,7,7,"2019,2020,2021,2022,2023,2024,2025",153.09,0.385,0.054,208.19,-7.49,antihelion,11.1
1535,17,78.0,102.5,27.2,8.42,20.82,66.51,92.56,0.8655,0.8927,151.55,133.3,92.55,PPS,0.789,0.211,PPS,4.33,,,1286,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",10.31,0.418,0.2,283.59,15.48,north_apex,13.1
283,4,330.0,336.5,26.53,238.75,-46.09,66.69,334.7,0.9864,0.9283,136.82,353.39,154.7,DNO,0.974,0.026,,,DNO,0.19,347,4,3,"2024,2025,2026",-0.7,0.582,0.124,271.64,-25.15,south_apex,10.3
45,1,157.5,159.5,26.24,91.36,39.06,65.57,158.59,0.6695,0.9681,148.5,108.23,158.59,AUR,1.0,0.0,AUR,0.35,TAG,4.85,558,7,7,"2019,2020,2021,2022,2023,2024,2025",10.17,0.36,0.047,292.44,15.65,north_apex,21.6
32,1,222.0,224.0,26.0,144.21,45.79,65.42,222.83,0.9877,0.9829,129.47,187.23,222.83,KUM,1.0,0.0,KUM,1.08,,,393,7,7,"2019,2020,2021,2022,2023,2024,2025",28.21,0.224,0.081,268.03,29.64,north_apex,14.8
153,5,34.5,42.5,26.0,205.52,5.25,17.94,35.65,0.7758,0.7103,7.85,243.72,35.67,AVB,0.969,0.031,AVB,3.09,SLE,4.83,1009,8,3,"2020,2023,2025",0.24,0.395,0.463,166.84,14.36,antihelion,35.9
431,8,309.0,321.5,26.0,203.07,-56.28,57.74,309.93,0.9727,0.8973,107.21,346.93,129.93,ACE,0.758,0.242,,,ACE,4.63,175,5,3,"2024,2025,2026",-1.11,0.406,0.194,275.88,-42.19,south_apex,27.7
33,1,351.0,353.0,26.0,64.68,-77.76,30.58,352.15,0.9795,0.6571,51.11,344.33,172.15,BTU,0.848,0.152,,,BTU,0.66,62,4,3,"2023,2024,2026",-0.23,0.468,0.419,301.29,-76.57,south_apex,65.3
70,3,16.5,21.5,26.0,306.86,11.54,61.17,19.21,0.7334,0.9806,121.98,117.26,19.21,AED,1.0,0.0,,,AED,0.25,285,7,7,"2020,2021,2022,2023,2024,2025,2026",30.0,0.309,0.067,293.42,29.61,north_apex,26.1
523,9,96.0,107.0,25.27,315.26,-27.8,39.69,101.67,0.0998,0.9567,33.14,147.61,281.67,SZC,0.976,0.024,SZC,2.25,MIC,3.36,1082,7,7,"2020,2021,2022,2023,2024,2025,2026",4.67,0.485,0.124,208.8,-10.58,antihelion,13.7
30,1,255.0,257.0,25.0,96.74,13.95,41.17,255.97,0.1599,0.9927,22.75,132.75,75.97,NOO,0.367,0.633,NOO,4.26,CMI,5.51,1349,7,7,"2019,2020,2021,2022,2023,2024,2025",21.62,0.335,0.452,201.5,-8.7,antihelion,8.8
38,2,160.5,164.0,25.0,46.0,-6.25,60.36,163.12,0.501,0.9822,127.74,91.07,343.12,,0.0,1.0,,,SZE,2.86,137,7,5,"2020,2022,2023,2024,2025",3.84,0.277,1.0,238.6,-22.9,south_apex,30.7
29,1,142.5,144.5,23.0,325.28,-11.53,23.89,143.69,0.5508,0.8112,1.82,270.91,143.81,ADC,0.862,0.138,,,ADC,0.03,713,7,0,,-10.12,0.323,0.874,180.18,2.29,antihelion,19.9
10,1,124.5,126.5,23.0,339.06,-15.67,40.88,125.6,0.0645,0.973,25.97,154.02,305.59,SDA,1.0,0.0,SDA,0.78,,,20895,7,7,"2019,2020,2021,2022,2023,2024,2025",204.8,0.432,0.049,208.52,-7.35,antihelion,11.2
422,7,280.5,291.5,22.64,125.77,-7.85,43.96,281.68,0.2829,0.9712,59.22,116.68,101.69,AHY,0.863,0.068,AHY,0.14,,,796,8,7,"2019,2020,2022,2023,2024,2025,2026",5.37,0.392,0.07,208.45,-26.17,antihelion,27.4
31,1,72.0,74.0,22.51,273.54,-26.41,36.01,72.59,0.1756,0.9347,6.38,135.9,252.55,LSA,0.968,0.032,,,LSA,1.14,483,8,1,2024,-1.05,0.302,0.327,200.57,-2.88,antihelion,2.9
