n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep
44,2,145.5,149.0,18.04,274.25,60.76,22.2,146.46,1.0075,0.6473,35.64,188.59,146.46,AUD,1.0,0.0,AUD,2.26,,
65,4,178.5,185.0,18.0,59.01,-63.57,23.86,183.43,0.9729,0.6883,37.57,21.86,3.42,M25S2,1.0,0.0,,,,
137,3,255.0,258.5,18.0,140.62,-51.09,41.57,257.73,0.9825,0.5808,74.59,353.47,77.73,EVE,0.81,0.19,,,LVL,4.78
35,2,286.5,290.0,18.0,138.05,8.22,46.28,288.81,0.0539,0.9937,37.52,153.4,108.81,KCA,0.952,0.0,,,OLS,0.7
30,1,12.0,14.0,17.29,297.2,41.08,42.52,13.19,0.9181,0.8655,72.03,145.84,13.19,ZCY,0.867,0.133,,,ZCY,0.78
53,2,94.5,98.0,17.29,215.06,55.69,14.01,97.13,1.0146,0.6236,19.83,174.08,97.14,,0.0,1.0,JBO,7.73,,
68,4,216.0,222.5,17.0,20.09,26.86,18.51,221.53,0.7471,0.7574,9.18,244.76,221.53,AND,0.857,0.143,AND,1.26,,
22,1,70.5,72.5,17.0,327.6,38.35,54.18,71.29,0.9997,0.9062,100.2,165.98,71.29,,0.0,1.0,,,MCY,7.3
22,1,235.5,237.5,17.0,154.52,21.51,67.29,236.45,0.9841,0.6107,161.71,171.31,236.45,LEO,1.0,0.0,LEO,0.13,,
38,2,19.5,23.0,17.0,202.68,-15.07,26.49,20.82,0.4603,0.8032,4.99,101.99,200.79,OAV,1.0,0.0,,,OAV,0.84
22,1,264.0,266.0,17.0,192.62,-11.28,68.68,265.17,0.6443,0.9731,168.96,287.78,85.16,XVI,1.0,0.0,XVI,1.43,,
84,3,6.0,11.0,17.0,207.25,-19.15,29.87,9.68,0.2213,0.8273,11.66,135.92,189.67,,0.0,1.0,,,OAV,5.85
1596,12,91.5,108.5,16.75,311.64,-4.78,38.78,102.92,0.1112,0.94,38.46,327.17,102.92,NZC,0.789,0.0,NZC,1.24,FAQ,7.07
30,1,358.5,360.5,16.55,187.25,23.08,27.61,358.9,0.6151,0.9439,20.53,257.39,358.9,BCO,0.5,0.5,,,BCO,6.6
13,1,295.5,297.5,16.0,168.28,33.38,40.64,296.79,0.2204,0.8449,67.38,314.25,296.79,XUM,1.0,0.0,XUM,0.52,,
20,1,328.5,330.5,16.0,74.21,-52.87,17.32,329.41,0.987,0.6457,25.37,354.09,149.41,M26E1,0.5,0.5,,,,
73,3,10.5,15.5,16.0,200.17,25.35,26.28,14.73,0.7163,0.9579,22.78,245.07,14.73,BCO,0.95,0.05,,,BCO,3.63
52,3,352.5,357.5,16.0,259.34,-16.4,71.08,356.55,0.9576,0.9597,168.46,202.45,356.54,EOP,1.0,0.0,,,EOP,0.92
